tai100b,1185996137,100,1273894820,0.07411380210928967,0.03,1306306586,1297837745,1273894820,1296946998,1279816384,1305457288,1315638820,1300149815,1306137051,1296476485,1297866199
tai12a,224416,12,224416,0.0,1.0,224416,224416,224416,224416,224416,224416,224416,224416,224416,224416,224416
tai12b,39464925,12,39464925,0.0,1.0,39464925,39464925,39900385,39464925,39900385,39464925,39464925,39464925,39464925,39464925,39552017
tai150b,498896643,150,570587723,0.1436992631758398,0.006666666666666667,578665906,576502796,577563012,574606464,573004037,579429568,579013948,574912252,577095659,570587723,576138136
tai15a,388214,15,388214,0.0,1.0,388214,388214,388214,388214,388214,388214,388214,388214,388214,388250,388217
tai15b,51765268,15,51765268,0.0,1.0,51765268,51765268,51765268,51765268,51765268,51765268,51765268,51765268,51765268,51765268,51765268
tai20a,703482,20,703482,0.0,1.0,705622,705622,706786,706786,703482,706786,703482,703482,708468,708654,705917
tai20b,122455319,20,122455319,0.0,1.0,122455319,122455319,122455319,122455319,122455319,122455319,123009513,122455319,122455319,122455319,122510738
tai256c,44759294,256,47384156,0.05864395448239197,0.00390625,47655748,47560072,48140658,47790512,47838386,47384156,47616690,47928426,47758750,47719452,47739285
tai25b,344355646,25,344855160,0.0014505758967576212,0.68,346953119,347198474,345706679,345640894,346062747,344855160,345706679,346035061,347088715,345475531,346072305
tai30b,637117113,30,637917440,0.0012561693661491714,0.6,639535005,637917440,646085559,638585273,639537383,641041773,640013207,640579530,638868135,639199869,640136317
tai35b,283315445,35,284790130,0.005205099213705063,0.14285714285714285,284984807,285340631,286284417,285292260,284790130,285381347,286697152,286187107,285242202,285393323,285559337
tai40b,637250948,40,641882260,0.007267642385680688,0.275,649489832,648085917,652331923,658917272,655012466,643397146,647733191,643128143,647170451,641882260,648714860
tai50b,458821517,50,465394191,0.01432512154829914,0.02,469530666,466294037,466936577,466731491,471921929,465394191,466699003,476384041,465701993,471354400,468694832
tai60a,7208572,60,7404538,0.027185134586988936,0.0,7456042,7443336,7420632,7462834,7421706,7461888,7433876,7429972,7446980,7404538,7438180
tai60b,608215054,60,619497795,0.018550578328829066,0.08333333333333333,629079490,624607043,620591364,627032746,629645832,631593813,626714196,630110755,619497795,622941444,626181447
tai64c,1855928,64,1855928,0.0,0.0625,1855928,1855928,1855928,1855928,1855928,1855928,1855928,1855928,1855928,1855928,1855928
tai80a,13557864,80,14040432,0.03559321733866043,0.025,14042368,14040432,14068774,14077364,14040682,14051842,14048778,14070476,14047570,14065492,14055377
tai80b,818415043,80,858380907,0.04883324706923795,0.0,876742801,878893665,873089065,875162214,870538330,865168612,858380907,859641668,870382962,874640139,870264036
